0.0123762376237624 0.0011580856309715  21.39405801381254  294.0000004850775 0.0000001601790290 0.0000000000000000 0.0000000000000000 0.2228709704329166 0.0000000000000000 0.0000000000174611 0.0407849899979136 0.0000000000014762 0.0000000000000014 0.7363438793715856
0.0128712871287129 0.0011580855183120  21.39406009504417  294.0000005165129 0.0000001677482280 0.0000000000000000 0.0000000000000000 0.2228709690356595 0.0000000000000000 0.0000000000186153 0.0407849895250621 0.0000000000015753 0.0000000000000015 0.7363438736712472
0.0133663366336634 0.0011580854033553  21.39406221871403  294.0000005498845 0.0000001754714262 0.0000000000000000 0.0000000000000000 0.2228709676099636 0.0000000000000000 0.0000000000198458 0.0407849890425573 0.0000000000016811 0.0000000000000016 0.7363438678549188
0.0138613861386139 0.0011580852875915  21.39406435729461  294.0000005839363 0.0000001832487322 0.0000000000000000 0.0000000000000000 0.2228709661742758 0.0000000000000000 0.0000000000211031 0.0407849885566607 0.0000000000017893 0.0000000000000018 0.7363438619978371
0.0143564356435644 0.0011580851695320  21.39406653828483  294.0000006200108 0.0000001911799104 0.0000000000000000 0.0000000000000000 0.2228709647101703 0.0000000000000000 0.0000000000224409 0.0407849880611164 0.0000000000019045 0.0000000000000019 0.7363438560248630
0.0148514851485149 0.0011580850505797  21.39406873576769  294.0000006568720 0.0000001991709277 0.0000000000000000 0.0000000000000000 0.2228709632350135 0.0000000000000000 0.0000000000238100 0.0407849875618201 0.0000000000020225 0.0000000000000020 0.7363438500068193
0.0153465346534653 0.0011580849293351  21.39407097559956  294.0000006958497 0.0000002073155712 0.0000000000000000 0.0000000000000000 0.2228709617314862 0.0000000000000000 0.0000000000252642 0.0407849870528887 0.0000000000021479 0.0000000000000021 0.7363438438730686
0.0158415841584158 0.0011580848071080  21.39407323358102  294.0000007357345 0.0000002155260545 0.0000000000000000 0.0000000000000000 0.2228709602158003 0.0000000000000000 0.0000000000267548 0.0407849865398279 0.0000000000022765 0.0000000000000023 0.7363438376897291
0.0163366336633663 0.0011580846825938  21.39407553381562  294.0000007778227 0.0000002238897929 0.0000000000000000 0.0000000000000000 0.2228709586718074 0.0000000000000000 0.0000000000283350 0.0407849860171520 0.0000000000024130 0.0000000000000024 0.7363438313909504
0.0168316831683168 0.0011580845570033  21.39407785393404  294.0000008209478 0.0000002323256514 0.0000000000000000 0.0000000000000000 0.2228709571144935 0.0000000000000000 0.0000000000299575 0.0407849854899512 0.0000000000025531 0.0000000000000026 0.7363438250378473
0.0173267326732673 0.0011580844291327  21.39408021617481  294.0000008663723 0.0000002409142624 0.0000000000000000 0.0000000000000000 0.2228709555289661 0.0000000000000000 0.0000000000316744 0.0407849849531642 0.0000000000027016 0.0000000000000028 0.7363438185696922
0.0178217821782178 0.0011580843000875  21.39408260011499  294.0000009129814 0.0000002495815642 0.0000000000000000 0.0000000000000000 0.2228709539289045 0.0000000000000000 0.0000000000334401 0.0407849844114387 0.0000000000028542 0.0000000000000030 0.7363438120422678
0.0183168316831683 0.0011580841687713  21.39408502600860  294.0000009619868 0.0000002584009774 0.0000000000000000 0.0000000000000000 0.2228709523007486 0.0000000000000000 0.0000000000353052 0.0407849838601640 0.0000000000030156 0.0000000000000032 0.7363438054002747
0.0188118811881188 0.0011580840361777  21.39408747550100  294.0000010123399 0.0000002673059534 0.0000000000000000 0.0000000000000000 0.2228709506567897 0.0000000000000000 0.0000000000372264 0.0407849833035178 0.0000000000031819 0.0000000000000034 0.7363437986938365
0.0193069306930693 0.0011580839013245  21.39408996673733  294.0000010651847 0.0000002763622544 0.0000000000000000 0.0000000000000000 0.2228709489848759 0.0000000000000000 0.0000000000392522 0.0407849827373677 0.0000000000033573 0.0000000000000036 0.7363437918734045
0.0198019801980198 0.0011580837650864  21.39409248355862  294.0000011195567 0.0000002855113029 0.0000000000000000 0.0000000000000000 0.2228709472958285 0.0000000000000000 0.0000000000413423 0.0407849821653926 0.0000000000035383 0.0000000000000038 0.7363437849831052
0.0202970297029703 0.0011580836266023  21.39409504187349  294.0000011765179 0.0000002948107370 0.0000000000000000 0.0000000000000000 0.2228709455790029 0.0000000000000000 0.0000000000435424 0.0407849815839699 0.0000000000037289 0.0000000000000041 0.7363437779795381
0.0207920792079208 0.0011580834866208  21.39409762785074  294.0000012352054 0.0000003042104282 0.0000000000000000 0.0000000000000000 0.2228709438436584 0.0000000000000000 0.0000000000458158 0.0407849809962487 0.0000000000039259 0.0000000000000044 0.7363437709004591
